file_path,relative_path,file_size_bytes,page_count,pdfinfo_pages,total_chars,total_words,pages_with_text,pages_with_full_page_image,avg_image_coverage,max_image_coverage,image_count,font_count,pdffonts_count,status,recommended_extractor,reason
预调研/政策文件/11_中华人民共和国水污染防治法_2017修正.pdf,预调研/政策文件/11_中华人民共和国水污染防治法_2017修正.pdf,578525,36,36,28007,1723,36,0,0.0079,0.06278564358259428,37,3,3,native_text,fitz/pdfplumber,text on 36/36 pages; avg chars/page=778.0
预调研/政策文件/12_中华人民共和国大气污染防治法_2018修正.pdf,预调研/政策文件/12_中华人民共和国大气污染防治法_2018修正.pdf,605712,41,41,31511,1846,41,0,0.0077,0.06278564358259428,42,3,3,native_text,fitz/pdfplumber,text on 41/41 pages; avg chars/page=768.6
预调研/政策文件/13_中华人民共和国固体废物污染环境防治法_2020修订.pdf,预调研/政策文件/13_中华人民共和国固体废物污染环境防治法_2020修订.pdf,598775,42,42,32300,1863,42,0,0.0077,0.06278564358259428,43,3,3,native_text,fitz/pdfplumber,text on 42/42 pages; avg chars/page=769.0
预调研/政策文件/14_中华人民共和国环境噪声污染防治法_2018修正.pdf,预调研/政策文件/14_中华人民共和国环境噪声污染防治法_2018修正.pdf,372575,19,19,13860,907,19,0,0.0093,0.06278564358259428,20,3,3,native_text,fitz/pdfplumber,text on 19/19 pages; avg chars/page=729.5
预调研/政策文件/15_中华人民共和国土壤污染防治法_2018公布.pdf,预调研/政策文件/15_中华人民共和国土壤污染防治法_2018公布.pdf,446484,31,31,23065,1266,31,0,0.0081,0.06278564358259428,32,3,3,native_text,fitz/pdfplumber,text on 31/31 pages; avg chars/page=744.0
预调研/政策文件/16_中华人民共和国海洋环境保护法_2023修订.pdf,预调研/政策文件/16_中华人民共和国海洋环境保护法_2023修订.pdf,551584,40,40,30697,1624,40,0,0.0077,0.06278564358259428,41,3,3,native_text,fitz/pdfplumber,text on 40/40 pages; avg chars/page=767.4
预调研/政策文件/17_中华人民共和国长江保护法_2020公布.pdf,预调研/政策文件/17_中华人民共和国长江保护法_2020公布.pdf,436148,29,29,22236,1120,29,0,0.0083,0.06278564358259428,30,3,3,native_text,fitz/pdfplumber,text on 29/29 pages; avg chars/page=766.8
预调研/政策文件/18_中华人民共和国黄河保护法_2022公布.pdf,预调研/政策文件/18_中华人民共和国黄河保护法_2022公布.pdf,458592,36,36,28538,1241,36,0,0.0079,0.06278564358259428,37,3,3,native_text,fitz/pdfplumber,text on 36/36 pages; avg chars/page=792.7
预调研/政策文件/19_中华人民共和国湿地保护法_2021公布.pdf,预调研/政策文件/19_中华人民共和国湿地保护法_2021公布.pdf,360974,20,20,14451,765,20,0,0.0091,0.06278564358259428,21,3,3,native_text,fitz/pdfplumber,text on 20/20 pages; avg chars/page=722.5
预调研/政策文件/20_中华人民共和国清洁生产促进法_2012修正.pdf,预调研/政策文件/20_中华人民共和国清洁生产促进法_2012修正.pdf,292518,14,14,10524,585,14,0,0.0104,0.06278564358259428,15,3,3,native_text,fitz/pdfplumber,text on 14/14 pages; avg chars/page=751.7
预调研/政策文件/21_中华人民共和国环境影响评价法_2018修正.pdf,预调研/政策文件/21_中华人民共和国环境影响评价法_2018修正.pdf,313738,15,15,11929,665,15,0,0.0101,0.06278564358259428,16,3,3,native_text,fitz/pdfplumber,text on 15/15 pages; avg chars/page=795.3
预调研/政策文件/22_中华人民共和国节约能源法_2018修正.pdf,预调研/政策文件/22_中华人民共和国节约能源法_2018修正.pdf,378969,23,23,16469,965,23,0,0.0088,0.06278564358259428,24,3,3,native_text,fitz/pdfplumber,text on 23/23 pages; avg chars/page=716.0
预调研/政策文件/23_中华人民共和国可再生能源法_2009修正.pdf,预调研/政策文件/23_中华人民共和国可再生能源法_2009修正.pdf,277672,13,13,9707,533,13,0,0.0107,0.06278564358259428,14,3,3,native_text,fitz/pdfplumber,text on 13/13 pages; avg chars/page=746.7
